gvkey,datadate,fyear,tic,conm,curcd,revt,sale,xad,exchg
009899,12/31/2010,2010,T,AT&T INC,USD,124280.0000,124280.0000,2989.0000,11
009899,12/31/2011,2011,T,AT&T INC,USD,126723.0000,126723.0000,2359.0000,11
009899,12/31/2012,2012,T,AT&T INC,USD,127434.0000,127434.0000,2910.0000,11
009899,12/31/2013,2013,T,AT&T INC,USD,128752.0000,128752.0000,3268.0000,11
009899,12/31/2014,2014,T,AT&T INC,USD,132447.0000,132447.0000,3272.0000,11
009899,12/31/2015,2015,T,AT&T INC,USD,146801.0000,146801.0000,3632.0000,11
009899,12/31/2016,2016,T,AT&T INC,USD,163763.0000,163763.0000,3768.0000,11
009899,12/31/2017,2017,T,AT&T INC,USD,160789.0000,160789.0000,3772.0000,11
009899,12/31/2018,2018,T,AT&T INC,USD,170805.0000,170805.0000,5100.0000,11
009899,12/31/2019,2019,T,AT&T INC,USD,181265.0000,181265.0000,6121.0000,11
010920,12/31/2010,2010,UPS,UNITED PARCEL SERVICE INC,USD,49545.0000,49545.0000,,11
010920,12/31/2011,2011,UPS,UNITED PARCEL SERVICE INC,USD,53105.0000,53105.0000,,11
010920,12/31/2012,2012,UPS,UNITED PARCEL SERVICE INC,USD,54127.0000,54127.0000,,11
010920,12/31/2013,2013,UPS,UNITED PARCEL SERVICE INC,USD,55438.0000,55438.0000,,11
010920,12/31/2014,2014,UPS,UNITED PARCEL SERVICE INC,USD,58232.0000,58232.0000,,11
010920,12/31/2015,2015,UPS,UNITED PARCEL SERVICE INC,USD,58363.0000,58363.0000,,11
010920,12/31/2016,2016,UPS,UNITED PARCEL SERVICE INC,USD,60906.0000,60906.0000,,11
010920,12/31/2017,2017,UPS,UNITED PARCEL SERVICE INC,USD,65872.0000,65872.0000,,11
010920,12/31/2018,2018,UPS,UNITED PARCEL SERVICE INC,USD,71861.0000,71861.0000,,11
010920,12/31/2019,2019,UPS,UNITED PARCEL SERVICE INC,USD,74094.0000,74094.0000,,11
011259,01/31/2011,2010,WMT,WALMART INC,USD,420016.0000,420016.0000,2500.0000,11
011259,01/31/2012,2011,WMT,WALMART INC,USD,444948.0000,444948.0000,2300.0000,11
011259,01/31/2013,2012,WMT,WALMART INC,USD,467231.0000,467231.0000,2300.0000,11
011259,01/31/2014,2013,WMT,WALMART INC,USD,474259.0000,474259.0000,2400.0000,11
011259,01/31/2015,2014,WMT,WALMART INC,USD,483521.0000,483521.0000,2400.0000,11
011259,01/31/2016,2015,WMT,WALMART INC,USD,479962.0000,479962.0000,2500.0000,11
011259,01/31/2017,2016,WMT,WALMART INC,USD,482154.0000,482154.0000,2900.0000,11
011259,01/31/2018,2017,WMT,WALMART INC,USD,496785.0000,496785.0000,3100.0000,11
011259,01/31/2019,2018,WMT,WALMART INC,USD,511729.0000,511729.0000,3500.0000,11
011259,01/31/2020,2019,WMT,WALMART INC,USD,521426.0000,521426.0000,3700.0000,11
012141,06/30/2010,2010,MSFT,MICROSOFT CORP,USD,62484.0000,62484.0000,1600.0000,14
012141,06/30/2011,2011,MSFT,MICROSOFT CORP,USD,69943.0000,69943.0000,1900.0000,14
012141,06/30/2012,2012,MSFT,MICROSOFT CORP,USD,73723.0000,73723.0000,1600.0000,14
012141,06/30/2013,2013,MSFT,MICROSOFT CORP,USD,77849.0000,77849.0000,2600.0000,14
012141,06/30/2014,2014,MSFT,MICROSOFT CORP,USD,86451.0000,86451.0000,2300.0000,14
012141,06/30/2015,2015,MSFT,MICROSOFT CORP,USD,93580.0000,93580.0000,1900.0000,14
012141,06/30/2016,2016,MSFT,MICROSOFT CORP,USD,85320.0000,85320.0000,1600.0000,14
012141,06/30/2017,2017,MSFT,MICROSOFT CORP,USD,89950.0000,89950.0000,1500.0000,14
012141,06/30/2018,2018,MSFT,MICROSOFT CORP,USD,110360.0000,110360.0000,1600.0000,14
012141,06/30/2019,2019,MSFT,MICROSOFT CORP,USD,125843.0000,125843.0000,1600.0000,14
012141,06/30/2020,2020,MSFT,MICROSOFT CORP,USD,143015.0000,143015.0000,1600.0000,14
012485,12/31/2010,2010,ATUS,ALTICE USA INC,USD,7231.2490,7231.2490,253.9250,11
012485,12/31/2011,2011,ATUS,ALTICE USA INC,USD,6700.8480,6700.8480,177.6940,11
012485,12/31/2012,2012,ATUS,ALTICE USA INC,USD,6692.5590,6692.5590,170.8460,11
